Date,Timestamp,Latitude,Longitude,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,Final.out
Sat Jun 09 18:27:29 PDT 2018,1528594049.631,29.9001931,-131.7564398,153.764109790239,719.638258748645,859.838111749798,814.534530244352,54.5218337098698,17.6218974290961,147.864288944418,201.832914983569,119.80269984055,107.073981526316,106.924343382421,536.467043632921,201.294475678987,186.138814110634,46.0191000226171,315.379496295694,133.833494392484
Sat Jun 09 18:27:30 PDT 2018,1528594050.636,29.900132,-131.7563612,161.918770360434,728.223481124861,876.943794619002,820.570754226232,54.3405562996278,17.5558730500559,164.213263859093,201.156189964872,129.029769369924,114.436663250853,114.99086055915,535.058291783249,200.69736307248,185.689449819981,61.0230005433074,314.560738341036,145.474269865179
Sat Jun 09 18:27:31 PDT 2018,1528594051.621,29.9000715,-131.7562834,157.147168831821,726.397314635598,874.787694765065,826.603543010409,54.2197014915125,17.4898486710157,163.78303084562,225.371346777197,128.685118201264,114.042672063172,114.613230298462,557.294619074679,225.806151079933,185.240085529329,55.7553536439919,313.741980386378,142.916143516542
Sat Jun 09 18:27:32 PDT 2018,1528594052.639,29.9000166,-131.7562016,163.154652040974,734.966229822572,879.069381478174,832.62081076731,54.0988466833972,17.4238242919755,163.333241645751,199.773316899308,128.340467032604,113.648680875491,114.245283693092,555.858244469001,225.17918260744,184.790721238677,55.5514240394312,312.92322243172,145.747559536789
Sat Jun 09 18:27:33 PDT 2018,1528594053.625,29.8999678,-131.7561168,147.605755578034,707.148027330325,851.251275904056,801.69290590431,53.9175692731553,4.08689972585211,162.883452445881,199.096591880611,118.446330895028,105.524282296608,113.877337087722,530.776790722222,224.552214134947,184.341356948025,40.1579492980732,312.104464477062,133.026043236531
Sat Jun 09 18:27:34 PDT 2018,1528594054.636,29.8999239,-131.7560324,145.000455544013,705.351797729644,842.716472805234,795.428286538143,53.7362918629134,4.03738144157196,145.67401150426,198.419866861913,118.123915455487,97.4074069357714,105.084608816647,505.722959731449,198.219345048494,183.891992657372,45.0344116028031,278.870085664799,131.56218549975
Sat Jun 09 18:27:35 PDT 2018,1528594055.63,29.8998814,-131.7559483,148.858286772032,703.543593183209,840.605448522914,789.169710429189,53.5550144526715,3.9878631572918,145.263334677183,172.85126001219,117.790381267893,97.0309265592731,96.3029046025266,504.341830637783,197.622232441987,183.44262836672,29.6525927638934,310.504165124413,131.526857972538
Sat Jun 09 18:27:36 PDT 2018,1528594056.627,29.899844,-131.7558633,148.405116065197,706.944903034753,838.531986616605,791.13048808637,53.4341596445561,17.2092450600948,144.852657850106,197.095839852688,107.894723754491,96.6544461827748,95.95432376887,526.605780685218,197.02511983548,140.706081153203,44.6556849310838,277.269786312151,124.300402453847
Sat Jun 09 18:27:37 PDT 2018,1528594057.628,29.89981,-131.7557787,145.793072750693,705.136698488319,836.443499521092,780.77277642853,53.2528822343142,17.1432206810546,144.441981023029,171.556656031133,117.134431640758,96.2867219076259,104.038866315678,525.197028835546,196.428007228973,140.306642698351,39.4004959577423,308.941082308584,128.720537169555
Sat Jun 09 18:27:38 PDT 2018,1528594058.621,29.8997787,-131.7556946,143.187772716673,698.142929435411,827.932254473457,774.550802511526,53.0716048240723,3.80629611493122,144.031304195953,170.938777068774,107.238774127356,88.1710794300893,95.2474799851615,500.143197844774,195.830894622466,139.907204243499,39.214045691659,275.706703496322,123.572989185427
